# Fix print output for fix print_data
# Argon - LJ potential
# 32 atoms, dens. -1g/cm^3
# NVE, dt = 4 fs, -1 timesteps, output_step = every 1 step
# Temperature = 70.0 K, V = 1242.990379008 A3
# LAMMPS real units
step time temp c_pe_total c_ke_total c_flux_thermal[1] c_flux_thermal[2] c_flux_thermal[3] c_flux_thermal[4] c_flux_thermal[5] c_flux_thermal[6]
0 32000 78.941057787290532133 -58.066513013483735506 7.2945572507095768344 -0.0043000505573333918166 0.0076060034921942940717 -0.0022348221172491062811 0.0024397334616555348998 0.0015326294503721746461 0.00089986291399082700415
1 32004 78.741812582546103272 -58.047803891756430517 7.2761459753393653571 -0.0042820320708892778069 0.0076050868363549111589 -0.0022823787144185423911 0.0024505286208476844551 0.0015915822759406577161 0.00093386176883018291728
2 32008 78.471297671311091904 -58.022812243024652901 7.25114901479075602 -0.0042366781368055311113 0.0076262747864889336019 -0.0022856460193069940562 0.0024474897523901286735 0.0016458881579370222663 0.00096462540905213178116
3 32012 78.12883118063082577 -57.990860472147844007 7.2195033605173080105 -0.0041617660482819009496 0.0076796118578398419457 -0.0022411708220354412471 0.0024312635128252691429 0.0016957271464416849051 0.00099196940766532997608
4 32016 77.71454874386188294 -57.952882473772994842 7.1812215457344681369 -0.004065599172259895186 0.0077603517372896542101 -0.0021495098805719096285 0.0024012930726975537966 0.0017416637283264608388 0.0010159867631610343397
5 32020 77.229446313665022217 -57.908047942496310156 7.1363956015589522508 -0.0039445950189506461328 0.0078648382841912198998 -0.0020091702605821507022 0.0023605081688533305004 0.0017820933259350144398 0.0010356897939548890403
6 32024 76.675413107213984176 -57.855916395712782219 7.0852001013144390029 -0.0038112177577309279061 0.0079960363241506019621 -0.0018232201276405894663 0.002307148408106442488 0.0018173458015760613274 0.0010507447968961924206
7 32028 76.055307416910736151 -57.799211808104587362 7.027899165829177619 -0.003662913203869060802 0.0081481495550415061757 -0.0015955551305266114578 0.002242897292771425799 0.0018479664252272743306 0.0010603100469433433817
8 32032 75.372926327622636222 -57.735209116341579261 6.9648436651539000763 -0.0035069763140583784522 0.0083238958761732602387 -0.0013256398725388692655 0.0021697169591247773487 0.0018732308151514151517 0.0010653295065184455181
9 32036 74.633044123781857593 -57.667425524676836801 6.8964747675741335797 -0.0033498332481081641993 0.0085194990981762690196 -0.0010194119066310840249 0.0020868806326835194487 0.0018938682247789219784 0.001065017946884712699
10 32040 73.841375279931511955 -57.593928245896996998 6.8233205197474831039 -0.0031915885994757238128 0.0087306607843182677808 -0.00067566622341061043783 0.0019969902913674940706 0.0019091487110995029007 0.0010592273482677621102
11 32044 73.004571760295561944 -57.516562874244613113 6.7459955971700908961 -0.0030406126514406260977 0.0089538262522564984747 -0.00029986690107620082857 0.0019003709672138153 0.0019192627672997763719 0.0010481950591272812257
12 32048 72.130179623361371455 -57.43510446798952529 6.6651972942182435844 -0.0029005946550769773004 0.0091903143242398187968 9.7602372585728347509e-05 0.0017985270691477750309 0.0019248810122088678455 0.0010307689554383816719
13 32052 71.226601128094017668 -57.351867708231218046 6.5817020225688818158 -0.0027754073272426137836 0.0094350424655204063323 0.00051978699596054184912 0.0016921470622281139032 0.0019256565774232264031 0.0010086250942481543927
14 32056 70.302950999577504376 -57.265542127647961479 6.49635202941014267 -0.0026673853471072378994 0.0096790468319856957924 0.00095713072576582985951 0.0015835554704345510685 0.001920799462339195518 0.00098120286468348066194
15 32060 69.368845391898418029 -57.179170323032820988 6.4100358965330768157 -0.0025834804235347363401 0.0099216688526876962995 0.0014042359730183770136 0.0014724512472454433579 0.0019121813085927284043 0.00094844103976256515648
16 32064 68.434383928679551445 -57.092764602874652269 6.3236868807851598362 -0.0025231563092736079487 0.010155265316102037032 0.0018560813576075346071 0.0013615378784629229673 0.0018988756611931171397 0.00091134362967310207637
17 32068 67.510013430659995493 -57.00821273696428193 6.2382703218021333669 -0.0024924090153418620129 0.010371720043785545573 0.0023044502928080906959 0.0012504262099219797671 0.0018812251862683126644 0.00086956885663542256987
